"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","886","Delete a book by its ID","","Fri Jan 30 07:12:45 UTC 2026","passed","Fri Jan 30 07:12:46 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testDeleteBook"
"","880","Add a new book to the system","","Fri Jan 30 07:12:44 UTC 2026","passed","Fri Jan 30 07:12:45 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testCreateBook"
"","909","Delete an author by their ID","","Fri Jan 30 07:12:39 UTC 2026","passed","Fri Jan 30 07:12:40 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testDeleteAuthor"
"","1277","Retrieve a list of all books","","Fri Jan 30 07:12:41 UTC 2026","passed","Fri Jan 30 07:12:42 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testGetAllBooks"
"","2939","Retrieve a list of all authors.","","Fri Jan 30 07:12:34 UTC 2026","passed","Fri Jan 30 07:12:37 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetAllAuthors"
"","912","Retrieve details of a specific author by their ID.","","Fri Jan 30 07:12:37 UTC 2026","failed","Fri Jan 30 07:12:38 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetBook"
"","1084","Update an existing book by its ID","","Fri Jan 30 07:12:42 UTC 2026","passed","Fri Jan 30 07:12:43 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testUpdateBook"
"","916","Add a new author to the system","","Fri Jan 30 07:12:40 UTC 2026","passed","Fri Jan 30 07:12:41 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testCreateAuthor"
"","906","Retrieve details of a specific book by its ID","","Fri Jan 30 07:12:43 UTC 2026","passed","Fri Jan 30 07:12:44 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testGetBook"
"","962","Update an existing author’s details","","Fri Jan 30 07:12:38 UTC 2026","passed","Fri Jan 30 07:12:39 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testUpdateAuthor"
