"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","Delete a book by its ID","","Fri Jan 30 07:06:21 UTC 2026","passed","Fri Jan 30 07:06:22 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testDeleteBook"
"","693","Retrieve details of a specific author by their ID.","","Fri Jan 30 07:06:15 UTC 2026","passed","Fri Jan 30 07:06:16 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetBook"
"","955","Retrieve a list of all books","","Fri Jan 30 07:06:18 UTC 2026","passed","Fri Jan 30 07:06:19 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testGetAllBooks"
"","672","Retrieve details of a specific book by its ID","","Fri Jan 30 07:06:20 UTC 2026","passed","Fri Jan 30 07:06:20 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testGetBook"
"","680","Add a new book to the system","","Fri Jan 30 07:06:20 UTC 2026","passed","Fri Jan 30 07:06:21 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testCreateBook"
"","878","Update an existing book by its ID","","Fri Jan 30 07:06:19 UTC 2026","passed","Fri Jan 30 07:06:20 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testUpdateBook"
"","686","Add a new author to the system","","Fri Jan 30 07:06:17 UTC 2026","passed","Fri Jan 30 07:06:18 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testCreateAuthor"
"","726","Update an existing author’s details","","Fri Jan 30 07:06:16 UTC 2026","passed","Fri Jan 30 07:06:16 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testUpdateAuthor"
"","2975","Retrieve a list of all authors.","","Fri Jan 30 07:06:12 UTC 2026","passed","Fri Jan 30 07:06:15 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetAllAuthors"
"","669","Delete an author by their ID","","Fri Jan 30 07:06:16 UTC 2026","passed","Fri Jan 30 07:06:17 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testDeleteAuthor"
