"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1502","Negative: Create book with malformed publishDate Invalid Date: not-a-date","","Fri Jan 30 10:34:47 UTC 2026","passed","Fri Jan 30 10:34:48 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","302","Error when updating author that does not exist","","Fri Jan 30 10:34:52 UTC 2026","failed","Fri Jan 30 10:34:53 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testUpdateNonExistentAuthor"
"","320","Error when deleting author with negative ID","","Fri Jan 30 10:34:51 UTC 2026","failed","Fri Jan 30 10:34:52 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testDeleteAuthorWithNegativeId"
"","596","Retrieve details of a specific author by their ID","","Fri Jan 30 10:34:56 UTC 2026","passed","Fri Jan 30 10:34:56 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testGetAuthor"
"","309","Negative testing for Get Author by ID Scenario: Negative ID with ID: -1","","Fri Jan 30 10:34:52 UTC 2026","passed","Fri Jan 30 10:34:52 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","307","Security: SQL Injection attempt in book title","","Fri Jan 30 10:34:49 UTC 2026","passed","Fri Jan 30 10:34:50 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testSqlInjectionInTitle"
"","940","Retrieve a list of all books","","Fri Jan 30 10:34:57 UTC 2026","passed","Fri Jan 30 10:34:58 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testGetAllBooks"
"","312","Negative: Create book with empty JSON body","","Fri Jan 30 10:34:50 UTC 2026","failed","Fri Jan 30 10:34:50 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithEmptyBody"
"","322","Negative: Retrieve book with non-existent or boundary IDs Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 10:34:50 UTC 2026","passed","Fri Jan 30 10:34:51 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","304","Negative testing for Get Author by ID Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 10:34:52 UTC 2026","passed","Fri Jan 30 10:34:52 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","334","Negative: Create book with malformed publishDate Invalid Date: 2024-13-45","","Fri Jan 30 10:34:48 UTC 2026","passed","Fri Jan 30 10:34:49 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
