"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","413","Error when retrieving author with non-existent ID","","Fri Jan 30 08:47:41 UTC 2026","passed","Fri Jan 30 08:47:41 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testGetNonExistentAuthor"
"","951","Update an existing book by its ID","","Fri Jan 30 08:47:48 UTC 2026","passed","Fri Jan 30 08:47:49 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testUpdateBook"
"","1873","Retrieve a list of all authors","","Fri Jan 30 08:47:42 UTC 2026","passed","Fri Jan 30 08:47:44 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetAllAuthors"
"","366","Negative: Create book with empty JSON body","","Fri Jan 30 08:47:39 UTC 2026","passed","Fri Jan 30 08:47:39 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithEmptyBody"
"","742","Add a new author to the system","","Fri Jan 30 08:47:46 UTC 2026","passed","Fri Jan 30 08:47:47 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testCreateAuthor"
"","380","Error when creating author with empty required fields","","Fri Jan 30 08:47:42 UTC 2026","failed","Fri Jan 30 08:47:42 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testCreateAuthorWithEmptyData"
"","400","Negative: Retrieve book with non-existent or boundary IDs Scenario: Negative ID with ID: -1","","Fri Jan 30 08:47:39 UTC 2026","passed","Fri Jan 30 08:47:40 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testGetBookByInvalidId"
"","404","Error when deleting author with negative ID","","Fri Jan 30 08:47:40 UTC 2026","failed","Fri Jan 30 08:47:41 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testDeleteAuthorWithNegativeId"
"","1773","Negative: Create book with malformed publishDate Invalid Date: not-a-date","","Fri Jan 30 08:47:35 UTC 2026","passed","Fri Jan 30 08:47:36 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","749","Retrieve details of a specific author by their ID","","Fri Jan 30 08:47:46 UTC 2026","passed","Fri Jan 30 08:47:46 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetAuthor"
"","1055","Retrieve a list of all books","","Fri Jan 30 08:47:47 UTC 2026","passed","Fri Jan 30 08:47:48 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testGetAllBooks"
"","750","Delete a book by its ID","","Fri Jan 30 08:47:50 UTC 2026","passed","Fri Jan 30 08:47:51 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testDeleteBook"
"","742","Update an existing author’s details","","Fri Jan 30 08:47:44 UTC 2026","passed","Fri Jan 30 08:47:45 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testUpdateAuthor"
"","386","Negative: Create book with malformed publishDate Invalid Date: ","","Fri Jan 30 08:47:37 UTC 2026","passed","Fri Jan 30 08:47:38 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","427","Negative: Retrieve book with non-existent or boundary IDs Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 08:47:39 UTC 2026","passed","Fri Jan 30 08:47:39 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testGetBookByInvalidId"
"","454","Negative: Create book with malformed publishDate Invalid Date: 2024-13-45","","Fri Jan 30 08:47:37 UTC 2026","passed","Fri Jan 30 08:47:37 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","395","Error when updating author that does not exist","","Fri Jan 30 08:47:41 UTC 2026","failed","Fri Jan 30 08:47:42 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testUpdateNonExistentAuthor"
"","387","Negative: Create book with malformed publishDate Invalid Date: 99-99-9999","","Fri Jan 30 08:47:37 UTC 2026","passed","Fri Jan 30 08:47:37 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","409","Error when sending oversized data in fields","","Fri Jan 30 08:47:41 UTC 2026","failed","Fri Jan 30 08:47:41 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testCreateAuthorWithVeryLongNames"
"","408","Security: SQL Injection attempt in book title","","Fri Jan 30 08:47:38 UTC 2026","passed","Fri Jan 30 08:47:38 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testSqlInjectionInTitle"
"","736","Add a new book to the system","","Fri Jan 30 08:47:49 UTC 2026","passed","Fri Jan 30 08:47:50 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testCreateBook"
"","446","Negative: Create book with 5000 character title","","Fri Jan 30 08:47:38 UTC 2026","passed","Fri Jan 30 08:47:39 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testLongTitleBoundary"
"","738","Delete an author by their ID","","Fri Jan 30 08:47:45 UTC 2026","passed","Fri Jan 30 08:47:46 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testDeleteAuthor"
"","428","Negative: Retrieve book with non-existent or boundary IDs Scenario: Zero ID with ID: 0","","Fri Jan 30 08:47:40 UTC 2026","passed","Fri Jan 30 08:47:40 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testGetBookByInvalidId"
