"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","478","Error when updating author that does not exist","","Fri Jan 30 10:30:24 UTC 2026","failed","Fri Jan 30 10:30:24 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testUpdateNonExistentAuthor"
"","494","Negative: Create book with empty JSON body","","Fri Jan 30 10:30:20 UTC 2026","failed","Fri Jan 30 10:30:20 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithEmptyBody"
"","964","Add a new author to the system","","Fri Jan 30 10:30:29 UTC 2026","passed","Fri Jan 30 10:30:30 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testCreateAuthor"
"","479","Negative: Retrieve book with non-existent or boundary IDs Scenario: Zero ID with ID: 0","","Fri Jan 30 10:30:22 UTC 2026","passed","Fri Jan 30 10:30:22 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","975","Add a new book to the system","","Fri Jan 30 10:30:33 UTC 2026","passed","Fri Jan 30 10:30:34 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testCreateBook"
"","963","Retrieve details of a specific author by their ID","","Fri Jan 30 10:30:28 UTC 2026","passed","Fri Jan 30 10:30:29 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testGetAuthor"
"","970","Update an existing author’s details","","Fri Jan 30 10:30:27 UTC 2026","passed","Fri Jan 30 10:30:27 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testUpdateAuthor"
"","516","Negative: Create book with 5000 character title","","Fri Jan 30 10:30:19 UTC 2026","passed","Fri Jan 30 10:30:20 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testLongTitleBoundary"
"","973","Delete a book by its ID","","Fri Jan 30 10:30:34 UTC 2026","passed","Fri Jan 30 10:30:35 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testDeleteBook"
"","1788","Negative: Create book with malformed publishDate Invalid Date: not-a-date","","Fri Jan 30 10:30:16 UTC 2026","passed","Fri Jan 30 10:30:17 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
